date,sku,category,units_sold,order_value,channel,country,customer_segment,cost_per_unit,margin_pct,promo_flag,event,ad_spend,web_traffic,review_score,discontinued_flag,launch_date,discontinue_date,archetype
2021-01-23,Flagship Growth,Tech,49.0,5776.687763330092,website,US,Young Pro,80,0.32,0,,307.7456253450464,1056.5307892760152,4.303924477863036,0,2021-01-01,,growth
2021-01-24,Flagship Growth,Tech,45.0,5315.221060258763,website,US,Young Pro,80,0.32,0,,226.04874292542354,1246.1639754413573,4.399310013554977,0,2021-01-01,,growth
2021-01-25,Flagship Growth,Tech,47.0,5805.073975883951,amazon,US,Young Pro,80,0.32,0,,417.3797012164939,1105.7378893687717,4.193038292820249,0,2021-01-01,,growth
2021-01-26,Flagship Growth,Tech,35.0,4222.980233994532,mobile,US,Young Pro,80,0.32,0,,207.03870736457566,917.7947397900023,4.228337266834168,0,2021-01-01,,growth
2021-01-27,Flagship Growth,Tech,29.0,3871.3657860109133,website,US,Older Adult,80,0.32,0,,354.71526523468145,1273.2892989714642,3.968011465657525,0,2021-01-01,,growth
2021-01-28,Flagship Growth,Tech,42.0,4946.195629489297,website,US,Young Pro,80,0.32,0,,305.8343153769249,1185.3464340469523,4.250789107927409,0,2021-01-01,,growth
2021-01-29,Flagship Growth,Tech,48.0,5966.177690966001,amazon,US,Young Pro,80,0.32,0,,416.3006592157139,1531.834658579096,4.510030132153773,0,2021-01-01,,growth
2021-01-30,Flagship Growth,Tech,43.0,5207.200782778563,mobile,US,Young Pro,80,0.32,0,,242.84586214037316,1122.6347788383473,4.411238404557891,0,2021-01-01,,growth
2021-01-31,Flagship Growth,Tech,51.0,6015.563178173097,website,US,Young Pro,80,0.32,0,,411.77339173704866,1114.7858974162668,4.329693151442475,0,2021-01-01,,growth
2021-02-01,Flagship Growth,Tech,29.0,3903.3182885359815,website,US,Older Adult,80,0.32,0,,357.55893841938325,1270.434713335836,4.378774126672463,0,2021-01-01,,growth
2021-02-02,Flagship Growth,Tech,43.0,5072.5666149643075,website,US,Young Pro,80,0.32,0,,297.9218357241148,1099.8196472546624,4.33583282232165,0,2021-01-01,,growth
2021-02-03,Flagship Growth,Tech,42.0,4965.10022694897,website,US,Young Pro,80,0.32,0,,390.5020412791481,1271.8092429596081,4.442085629840755,0,2021-01-01,,growth
2021-02-04,Flagship Growth,Tech,45.0,5662.025744555123,website,US,Family,80,0.32,0,,435.84367966297515,1111.793293310988,4.176343539686957,0,2021-01-01,,growth
2021-02-05,Flagship Growth,Tech,43.0,5060.562728626095,website,US,Young Pro,80,0.32,0,,283.7921787047115,1337.3542851746347,4.217189759676515,0,2021-01-01,,growth
2021-02-06,Flagship Growth,Tech,56.0,6487.707849240224,website,CA,Young Pro,80,0.32,0,,307.7963892385088,1378.1090848490148,4.441906631324623,0,2021-01-01,,growth
2021-02-07,Flagship Growth,Tech,56.0,6926.489905430261,amazon,US,Young Pro,80,0.32,0,,200.86486455463466,1260.642935891064,4.26391513278674,0,2021-01-01,,growth
2021-02-08,Flagship Growth,Tech,34.0,4578.242675127452,website,US,Older Adult,80,0.32,0,,292.4821995645466,1216.7098039297487,4.400029332537836,0,2021-01-01,,growth
2021-02-09,Flagship Growth,Tech,45.0,5295.246682107488,website,US,Young Pro,80,0.32,0,,283.46773120808297,1112.8087303103598,4.210663108792926,0,2021-01-01,,growth
2021-02-10,Flagship Growth,Tech,45.0,5223.5789813337615,website,CA,Young Pro,80,0.32,0,,360.605481992738,1185.0919413490317,4.5406137656881675,0,2021-01-01,,growth
2021-02-11,Flagship Growth,Tech,34.0,4572.321728323591,website,US,Older Adult,80,0.32,0,,360.5263780892973,1235.9582447831706,4.335106670214805,0,2021-01-01,,growth
2021-02-12,Flagship Growth,Tech,36.0,4830.322752214637,website,US,Older Adult,80,0.32,0,,323.20440109554505,1166.3509066201702,4.221617195205168,0,2021-01-01,,growth
2021-02-13,Flagship Growth,Tech,46.0,5568.499310416681,mobile,US,Young Pro,80,0.32,0,,305.0149952524225,1236.9624043531721,4.393259956035829,0,2021-01-01,,growth
2021-02-14,Flagship Growth,Tech,48.0,6441.916117440666,website,US,Older Adult,80,0.32,0,,421.34933331021125,1424.6712068832462,4.233156979391122,0,2021-01-01,,growth
2021-02-15,Flagship Growth,Tech,43.0,5305.696842123178,website,CA,Family,80,0.32,0,,361.0384170447034,1428.3534327841521,4.209562204807964,0,2021-01-01,,growth
2021-02-16,Flagship Growth,Tech,46.0,5410.129790955037,website,US,Young Pro,80,0.32,0,,470.57152262362644,1234.6896034507834,4.184894807736745,0,2021-01-01,,growth
2021-02-17,Flagship Growth,Tech,54.0,6664.547631370961,amazon,US,Young Pro,80,0.32,0,,419.02683390526494,1302.6215153616224,4.154722104632433,0,2021-01-01,,growth
2021-02-18,Flagship Growth,Tech,47.0,5556.764115737547,website,US,Young Pro,80,0.32,0,,290.7935544345568,1334.9641356924906,4.447335089116121,0,2021-01-01,,growth
2021-02-19,Flagship Growth,Tech,54.0,6700.564055934873,amazon,US,Young Pro,80,0.32,0,,293.57868222381705,1216.1520368054353,4.424686486284317,0,2021-01-01,,growth
2021-02-20,Flagship Growth,Tech,56.0,6930.406922648835,amazon,US,Young Pro,80,0.32,0,,392.99079171163453,1389.1270813185488,4.29222690690058,0,2021-01-01,,growth
2021-02-21,Flagship Growth,Tech,44.0,5674.9438048748,mobile,US,Family,80,0.32,0,,296.45128888278873,1441.0339283596747,4.259176360975294,0,2021-01-01,,growth
2021-02-22,Flagship Growth,Tech,46.0,5401.667554892505,website,US,Young Pro,80,0.32,0,,374.3993138541341,1485.8131495648315,4.106711104985098,0,2021-01-01,,growth
2021-02-23,Flagship Growth,Tech,40.0,4822.036874970388,mobile,US,Young Pro,80,0.32,0,,391.27418023714733,1154.6300081827726,4.1845285820101275,0,2021-01-01,,growth
2021-02-24,Flagship Growth,Tech,40.0,5060.969942503295,website,US,Family,80,0.32,0,,395.5367681588699,1323.3703944725644,4.454958541212629,0,2021-01-01,,growth
2021-02-25,Flagship Growth,Tech,49.0,5773.832182318093,website,US,Young Pro,80,0.32,0,,394.9941928463921,1345.3622917646321,4.279156683371223,0,2021-01-01,,growth
2021-02-26,Flagship Growth,Tech,53.0,6567.424015489485,amazon,US,Young Pro,80,0.32,0,,315.2407006029796,1285.8787311885721,4.355529318652843,0,2021-01-01,,growth
2021-02-27,Flagship Growth,Tech,47.0,5541.27473484311,website,US,Young Pro,80,0.32,0,,267.26966481418214,1123.046709764923,4.307271538474933,0,2021-01-01,,growth
2021-02-28,Flagship Growth,Tech,57.0,6737.801535783968,website,US,Young Pro,80,0.32,0,,227.34015254183183,1216.422938523891,4.437993907161162,0,2021-01-01,,growth
2021-03-01,Flagship Growth,Tech,41.0,4941.180067699299,mobile,US,Young Pro,80,0.32,0,,352.360345862389,1462.3097166691605,4.170292177803742,0,2021-01-01,,growth
2021-03-02,Flagship Growth,Tech,52.0,6099.759870717359,website,US,Young Pro,80,0.32,0,,495.6731742110997,1289.0153517273848,4.053806635670721,0,2021-01-01,,growth
2021-03-03,Flagship Growth,Tech,48.0,5542.3540821434135,website,CA,Young Pro,80,0.32,0,,233.66439020994636,1172.3856766097183,4.274415070385844,0,2021-01-01,,growth
2021-03-04,Flagship Growth,Tech,58.0,6837.756571513048,website,US,Young Pro,80,0.32,0,,466.4749716115323,1335.3851440805647,4.3042507395352585,0,2021-01-01,,growth
2021-03-05,Flagship Growth,Tech,44.0,6190.133541578093,amazon,US,Older Adult,80,0.32,0,,241.24674823387065,1438.7173592184417,4.444590434887103,0,2021-01-01,,growth
2021-03-06,Flagship Growth,Tech,45.0,5809.053230574407,mobile,US,Family,80,0.32,0,,285.5939186335315,1404.8343254441359,4.303452521443378,0,2021-01-01,,growth
2021-03-07,Flagship Growth,Tech,34.0,4672.841146008874,mobile,US,Older Adult,80,0.32,0,,337.03122157660397,1418.4527441283362,4.337780536575895,0,2021-01-01,,growth
2021-03-08,Flagship Growth,Tech,60.0,7085.209946834969,website,US,Young Pro,80,0.32,0,,471.63224392582674,1394.8619198747385,4.386903790081032,0,2021-01-01,,growth
2021-03-09,Flagship Growth,Tech,62.0,7315.91466662073,website,US,Young Pro,80,0.32,0,,307.8009093276109,1164.604323044707,4.349415053448543,0,2021-01-01,,growth
2021-03-10,Flagship Growth,Tech,52.0,6299.837530307199,mobile,US,Young Pro,80,0.32,0,,435.3486659839446,1177.1031277288776,4.433226085939214,0,2021-01-01,,growth
2021-03-11,Flagship Growth,Tech,49.0,5748.797517112106,website,US,Young Pro,80,0.32,0,,454.1639918684164,1311.224566767958,4.062019281074385,0,2021-01-01,,growth
2021-03-12,Flagship Growth,Tech,55.0,6469.974361980642,website,US,Young Pro,80,0.32,0,,456.8073927044495,1071.1086032499531,4.195256433486781,0,2021-01-01,,growth
2021-03-13,Flagship Growth,Tech,63.0,7437.319685845586,website,US,Young Pro,80,0.32,0,,379.09272545752526,1253.399811226627,4.372394706101172,0,2021-01-01,,growth
2021-03-14,Flagship Growth,Tech,66.0,8304.615205117358,website,US,Family,80,0.32,0,,411.85079329158026,1462.1072521614394,4.178213851244359,0,2021-01-01,,growth
2021-03-15,Flagship Growth,Tech,45.0,6349.278469963105,amazon,US,Older Adult,80,0.32,0,,420.68974345176025,1384.2756244946993,4.5910989679611305,0,2021-01-01,,growth
2021-03-16,Flagship Growth,Tech,51.0,6021.195065118615,website,US,Young Pro,80,0.32,0,,439.02952731829,1222.8864942382943,4.376625542655134,0,2021-01-01,,growth
2021-03-17,Flagship Growth,Tech,52.0,6109.09908657669,website,US,Young Pro,80,0.32,0,,381.29480957914774,1409.9420832281924,4.130136765290249,0,2021-01-01,,growth
2021-03-18,Flagship Growth,Tech,45.0,5822.059057285329,mobile,US,Family,80,0.32,0,,354.5370030870953,1302.0340760090655,4.415628601649194,0,2021-01-01,,growth
2021-03-19,Flagship Growth,Tech,50.0,5888.37839576454,website,US,Young Pro,80,0.32,0,,179.68252832346883,1315.0641475785146,4.25121636399858,0,2021-01-01,,growth
2021-03-20,Flagship Growth,Tech,65.0,7638.661692485532,website,US,Young Pro,80,0.32,0,,295.4491109918488,1199.2842603244542,4.145095681636166,0,2021-01-01,,growth
2021-03-21,Flagship Growth,Tech,46.0,5937.785452689599,mobile,US,Family,80,0.32,0,,374.6652962155821,1064.825318682987,4.300433142606305,0,2021-01-01,,growth
2021-03-22,Flagship Growth,Tech,68.0,8391.277459671492,amazon,US,Young Pro,80,0.32,0,,466.14253344079754,1581.4619808021478,4.148080117092208,0,2021-01-01,,growth
2021-03-23,Flagship Growth,Tech,45.0,6053.789866192318,website,US,Older Adult,80,0.32,0,,554.7119594882806,1131.948901958863,4.353229885608861,0,2021-01-01,,growth
2021-03-24,Flagship Growth,Tech,54.0,6382.064142015529,website,US,Young Pro,80,0.32,0,,367.20104746221807,1655.903919256597,4.429208525122211,0,2021-01-01,,growth
2021-03-25,Flagship Growth,Tech,43.0,5760.224961750663,website,US,Older Adult,80,0.32,0,,347.31391712840013,1244.820552335981,4.140750892371104,0,2021-01-01,,growth
2021-03-26,Flagship Growth,Tech,39.0,4709.017063532826,mobile,US,Young Pro,80,0.32,0,,285.8227262263896,1107.8220897784302,4.264596672956877,0,2021-01-01,,growth
2021-03-27,Flagship Growth,Tech,61.0,7191.803754265374,website,US,Young Pro,80,0.32,0,,472.07792422966816,1175.8576712316722,4.306829435455474,0,2021-01-01,,growth
2021-03-28,Flagship Growth,Tech,66.0,7792.027211733399,website,US,Young Pro,80,0.32,0,,281.13294845097744,1616.394184436738,4.375932802828702,0,2021-01-01,,growth
2021-03-29,Flagship Growth,Tech,42.0,5286.789226154988,website,US,Family,80,0.32,0,,302.99402831992677,1534.2266256852995,4.19745040311236,0,2021-01-01,,growth
2021-03-30,Flagship Growth,Tech,51.0,6309.882542138842,website,CA,Family,80,0.32,0,,345.86742664233293,1198.54591147079,4.345293265137978,0,2021-01-01,,growth
2021-03-31,Flagship Growth,Tech,52.0,6098.770793771711,website,US,Young Pro,80,0.32,0,,309.9135409559779,1145.2663943692598,4.0457228337111015,0,2021-01-01,,growth
2021-04-01,Flagship Growth,Tech,55.0,7249.46812651403,amazon,US,Family,80,0.32,0,,504.1706341438387,1389.0150464448313,4.216622626111399,0,2021-01-01,,growth
2021-04-02,Flagship Growth,Tech,39.0,5350.356410359069,mobile,US,Older Adult,80,0.32,0,,418.89814624163955,1444.0282572155588,4.247352798560668,0,2021-01-01,,growth
2021-04-03,Flagship Growth,Tech,70.0,8229.52276021516,website,US,Young Pro,80,0.32,0,,341.5538644354739,1244.4111082436273,4.16495961559205,0,2021-01-01,,growth
2021-04-04,Flagship Growth,Tech,54.0,6963.287412048916,mobile,US,Family,80,0.32,0,,455.5114800550883,1484.4933840349915,4.248996281427186,0,2021-01-01,,growth
2021-04-05,Flagship Growth,Tech,35.0,4699.656259366543,website,US,Older Adult,80,0.32,0,,327.16302193643395,1241.3713299335773,4.258995243879209,0,2021-01-01,,growth
2021-04-06,Flagship Growth,Tech,59.0,7304.0912620292265,amazon,US,Young Pro,80,0.32,0,,460.8483599028893,1163.7987436916756,4.308777826673457,0,2021-01-01,,growth
2021-04-07,Flagship Growth,Tech,51.0,6005.569706046625,website,US,Young Pro,80,0.32,0,,432.16941797652737,1410.736988158248,4.246414217055202,0,2021-01-01,,growth
2021-04-08,Flagship Growth,Tech,43.0,5198.652707223556,mobile,US,Young Pro,80,0.32,0,,291.07065942839,1398.4322541590218,4.328812264776214,0,2021-01-01,,growth
2021-04-09,Flagship Growth,Tech,54.0,6804.6541924167095,website,US,Family,80,0.32,0,,323.94008770377616,1402.1756562368068,4.251540875339235,0,2021-01-01,,growth
2021-04-10,Flagship Growth,Tech,63.0,8328.039139960596,amazon,US,Family,80,0.32,0,,367.1389878365721,1338.1980528499262,4.361800375329547,0,2021-01-01,,growth
2021-04-11,Flagship Growth,Tech,65.0,7673.593135333504,website,US,Young Pro,80,0.32,0,,265.51887695996237,1533.5588005692302,4.373493577180598,0,2021-01-01,,growth
2021-04-12,Flagship Growth,Tech,,,website,US,Family,80,0.32,0,|missing,423.63675064436563,1343.522745484735,4.4322576714322075,0,2021-01-01,,growth
2021-04-13,Flagship Growth,Tech,47.0,5690.8168982463885,mobile,US,Young Pro,80,0.32,0,,333.9802354741339,1396.346574788221,4.404404395531192,0,2021-01-01,,growth
2021-04-14,Flagship Growth,Tech,47.0,5535.473732136163,website,US,Young Pro,80,0.32,0,,338.77704304309333,1204.7736812416751,4.254815662933379,0,2021-01-01,,growth
2021-04-15,Flagship Growth,Tech,47.0,5701.257623287997,mobile,US,Young Pro,80,0.32,0,,305.9798725032833,1257.478581937081,4.496512504357019,0,2021-01-01,,growth
2021-04-16,Flagship Growth,Tech,52.0,6309.525453326582,mobile,US,Young Pro,80,0.32,0,,359.61633290357946,1309.1104895072772,4.510475003073114,0,2021-01-01,,growth
2021-04-17,Flagship Growth,Tech,63.0,7430.130962020096,website,US,Young Pro,80,0.32,0,,404.80997056891636,1087.3072524851905,4.323899346960961,0,2021-01-01,,growth
2021-04-18,Flagship Growth,Tech,68.0,8037.0714317621405,website,US,Young Pro,80,0.32,0,,412.86594243846827,1214.2628609253888,4.43169644851337,0,2021-01-01,,growth
2021-04-19,Flagship Growth,Tech,38.0,5216.400815340754,mobile,US,Older Adult,80,0.32,0,,428.898775727762,1253.694724194398,4.278390479327317,0,2021-01-01,,growth
2021-04-20,Flagship Growth,Tech,50.0,6316.199011678921,website,US,Family,80,0.32,0,,456.29045692093825,959.4678876655224,4.3754127095989,0,2021-01-01,,growth
2021-04-21,Flagship Growth,Tech,33.0,4333.741541017862,website,CA,Older Adult,80,0.32,0,,392.12428264787854,1414.1884627932704,4.158233108002443,0,2021-01-01,,growth
2021-04-22,Flagship Growth,Tech,41.0,5520.365251311545,website,US,Older Adult,80,0.32,0,,322.3680963474159,1469.1777065658073,4.395875734005253,0,2021-01-01,,growth
2021-04-23,Flagship Growth,Tech,57.0,7203.797987016599,website,US,Family,80,0.32,0,,396.2043950760664,1232.9177043353743,4.398625093983509,0,2021-01-01,,growth
2021-04-24,Flagship Growth,Tech,61.0,7683.672460805881,website,US,Family,80,0.32,0,,298.25861206336185,1353.193573624758,4.231573400375353,0,2021-01-01,,growth
2021-04-25,Flagship Growth,Tech,61.0,7695.739003229413,website,US,Family,80,0.32,0,,375.96152205914416,1548.041374033335,4.31014365516317,0,2021-01-01,,growth
2021-04-26,Flagship Growth,Tech,40.0,5500.332576400693,mobile,US,Older Adult,80,0.32,0,,352.2369495939946,1266.3607200483307,4.363977359877568,0,2021-01-01,,growth
2021-04-27,Flagship Growth,Tech,57.0,7671.542701313412,website,US,Older Adult,80,0.32,0,,353.30748167132396,1257.9489556600015,4.375525516438901,0,2021-01-01,,growth
2021-04-28,Flagship Growth,Tech,49.0,6903.414117962504,amazon,US,Older Adult,80,0.32,0,,362.647052088283,1327.6015895677936,4.516429431213573,0,2021-01-01,,growth
2021-04-29,Flagship Growth,Tech,46.0,6165.631848704474,website,US,Older Adult,80,0.32,0,,299.7690847807461,1380.0340553707179,4.16936566932496,0,2021-01-01,,growth
2021-04-30,Flagship Growth,Tech,51.0,6040.700555708692,mobile,CA,Young Pro,80,0.32,0,,236.14316399884018,1220.7208310280848,4.31365982834489,0,2021-01-01,,growth
2021-05-01,Flagship Growth,Tech,52.0,6985.460279823341,website,US,Older Adult,80,0.32,0,,342.93035344309965,1184.2637655315964,4.281319482539129,0,2021-01-01,,growth
2021-05-02,Flagship Growth,Tech,44.0,5917.984405290919,website,US,Older Adult,80,0.32,0,,483.5962586151521,1115.7876338138224,4.342411727444976,0,2021-01-01,,growth
2021-05-03,Flagship Growth,Tech,47.0,6071.270349287279,mobile,US,Family,80,0.32,0,,263.0955742500555,1033.1290821395196,4.336790021317273,0,2021-01-01,,growth
2021-05-04,Flagship Growth,Tech,43.0,5418.150702287396,website,US,Family,80,0.32,0,,366.8212804330145,1439.9049271451543,4.248121027431922,0,2021-01-01,,growth
2021-05-05,Flagship Growth,Tech,60.0,7423.415587080985,amazon,US,Young Pro,80,0.32,0,,420.08931706325507,1595.096784900086,4.278597214435204,0,2021-01-01,,growth
2021-05-06,Flagship Growth,Tech,59.0,7809.195449171624,amazon,US,Family,80,0.32,0,,400.7315988329539,1460.7646496017296,4.425606324121363,0,2021-01-01,,growth
2021-05-07,Flagship Growth,Tech,54.0,6359.424121895903,website,US,Young Pro,80,0.32,0,,371.59401275941707,1317.398954069135,4.251023181588128,0,2021-01-01,,growth
2021-05-08,Flagship Growth,Tech,54.0,7593.987878872732,amazon,US,Older Adult,80,0.32,0,,341.09468217034197,1216.9803381562378,4.424787558682083,0,2021-01-01,,growth
2021-05-09,Flagship Growth,Tech,68.0,8590.330452608612,website,US,Family,80,0.32,0,,528.9331956702899,1121.2567934838385,4.377163858695159,0,2021-01-01,,growth
2021-05-10,Flagship Growth,Tech,42.0,5066.9080676165395,mobile,US,Young Pro,80,0.32,0,,405.57020410538684,1078.6247047297086,4.221740504925188,0,2021-01-01,,growth
2021-05-11,Flagship Growth,Tech,51.0,6009.646104867323,website,US,Young Pro,80,0.32,0,,439.51047381281813,1146.8245773500712,4.280384207227687,0,2021-01-01,,growth
2021-05-12,Flagship Growth,Tech,52.0,6427.070288454212,amazon,US,Young Pro,80,0.32,0,,426.15183163961393,1201.8197486410504,4.227561769103292,0,2021-01-01,,growth
2021-05-13,Flagship Growth,Tech,52.0,6532.999090294182,website,US,Family,80,0.32,0,,297.3369886124257,1267.6710920392024,4.101592619968135,0,2021-01-01,,growth
2021-05-14,Flagship Growth,Tech,42.0,5087.350808452273,mobile,US,Young Pro,80,0.32,0,,380.0819093424072,1045.5318257473489,4.423556181003847,0,2021-01-01,,growth
2021-05-15,Flagship Growth,Tech,78.0,9647.45223520134,amazon,US,Young Pro,80,0.32,0,,449.1840122651396,1192.6542530759216,4.263091574610124,0,2021-01-01,,growth
2021-05-16,Flagship Growth,Tech,54.0,6382.861911704185,website,US,Young Pro,80,0.32,0,,377.22747439716665,1401.5423219320069,4.435487268042198,0,2021-01-01,,growth
2021-05-17,Flagship Growth,Tech,37.0,5068.779153862229,mobile,US,Older Adult,80,0.32,0,,343.01934060438,1006.1697079247572,4.176363308002486,0,2021-01-01,,growth
2021-05-18,Flagship Growth,Tech,45.0,5343.058150150186,website,US,Young Pro,80,0.32,0,,300.2742419854112,1373.6562985020714,4.6622158625295285,0,2021-01-01,,growth
2021-05-19,Flagship Growth,Tech,54.0,7124.5438006721,amazon,US,Family,80,0.32,0,,384.6854863011347,1027.5907921594153,4.264998599299632,0,2021-01-01,,growth
2021-05-20,Flagship Growth,Tech,36.0,4824.862649021832,website,US,Older Adult,80,0.32,0,,357.5818774769579,935.7852902535959,4.165073728905414,0,2021-01-01,,growth
2021-05-21,Flagship Growth,Tech,47.0,5533.575555578879,website,US,Young Pro,80,0.32,0,,455.3725770792821,1422.5134368159652,4.237651300447309,0,2021-01-01,,growth
2021-05-22,Flagship Growth,Tech,65.0,7660.823483266564,website,US,Young Pro,80,0.32,0,,242.5691137262107,1321.1582583755282,4.289999698281374,0,2021-01-01,,growth
2021-05-23,Flagship Growth,Tech,45.0,6191.550342451485,mobile,US,Older Adult,80,0.32,0,,369.38490545910804,1504.3537056459245,4.393779600226617,0,2021-01-01,,growth
2021-05-24,Flagship Growth,Tech,44.0,5321.7240578711135,mobile,US,Young Pro,80,0.32,0,,309.6249296788876,1067.750145780305,4.349284359095862,0,2021-01-01,,growth
2021-05-25,Flagship Growth,Tech,45.0,5662.723016589528,website,US,Family,80,0.32,0,,397.46047919308535,1506.4532520213988,4.182498069585653,0,2021-01-01,,growth
2021-05-26,Flagship Growth,Tech,47.0,6068.477781947009,mobile,US,Family,80,0.32,0,,379.1926082908263,1352.8237431659757,4.313728890070504,0,2021-01-01,,growth
2021-05-27,Flagship Growth,Tech,51.0,6008.525420341209,website,US,Young Pro,80,0.32,0,,407.18563563187274,983.7856014804988,4.271045169510076,0,2021-01-01,,growth
2021-05-28,Flagship Growth,Tech,53.0,6254.887445839912,website,US,Young Pro,80,0.32,0,,417.9570165237104,851.19589616208,4.357116310980423,0,2021-01-01,,growth
2021-05-29,Flagship Growth,Tech,38.0,5229.065550237304,mobile,US,Older Adult,80,0.32,0,,341.87442594369145,1531.8627664493633,4.399974222969368,0,2021-01-01,,growth
2021-05-30,Flagship Growth,Tech,68.0,8462.841038623745,amazon,US,Young Pro,80,0.32,0,,260.40244011419423,1139.6226314669143,4.574053801331806,0,2021-01-01,,growth
2021-05-31,Flagship Growth,Tech,48.0,5655.764993860238,website,US,Young Pro,80,0.32,0,,370.3364051316669,1273.7180911497567,4.2770858831375165,0,2021-01-01,,growth
2021-06-01,Flagship Growth,Tech,49.0,5796.5625496743005,website,US,Young Pro,80,0.32,0,,329.910292599541,1082.9033518561685,4.476307828807711,0,2021-01-01,,growth
2021-06-02,Flagship Growth,Tech,35.0,4699.221926643838,website,US,Older Adult,80,0.32,0,,382.3855116945381,1130.8193466253492,4.254368892822816,0,2021-01-01,,growth
2021-06-03,Flagship Growth,Tech,61.0,7567.376945634852,amazon,US,Young Pro,80,0.32,0,,290.618201096779,1135.3602470102655,4.412883714204703,0,2021-01-01,,growth
2021-06-04,Flagship Growth,Tech,52.0,6129.450487706931,website,US,Young Pro,80,0.32,0,,383.3818827619098,1433.83849079779,4.296470332220111,0,2021-01-01,,growth
2021-06-05,Flagship Growth,Tech,46.0,6179.949737280646,website,US,Older Adult,80,0.32,0,,300.5534045974343,1121.5377879215034,4.285405002751229,0,2021-01-01,,growth
2021-06-06,Flagship Growth,Tech,64.0,7385.659871037144,website,CA,Young Pro,80,0.32,0,,380.8790412713328,1247.6235557285904,4.246324062353088,0,2021-01-01,,growth
