ds,yhat,yhat_lower,yhat_upper,sku,type
2022-04-27,11.0,11.0,11.0,Cannibalized,actual
2022-04-28,8.0,8.0,8.0,Cannibalized,actual
2022-04-29,12.0,12.0,12.0,Cannibalized,actual
2022-04-30,15.0,15.0,15.0,Cannibalized,actual
2022-05-01,12.0,12.0,12.0,Cannibalized,actual
2022-05-02,12.0,12.0,12.0,Cannibalized,actual
2022-05-03,8.0,8.0,8.0,Cannibalized,actual
2022-05-04,12.0,12.0,12.0,Cannibalized,actual
2022-05-05,9.0,9.0,9.0,Cannibalized,actual
2022-05-06,11.0,11.0,11.0,Cannibalized,actual
2022-05-07,11.0,11.0,11.0,Cannibalized,actual
2022-05-08,15.0,15.0,15.0,Cannibalized,actual
2022-05-09,13.0,13.0,13.0,Cannibalized,actual
2022-05-10,12.0,12.0,12.0,Cannibalized,actual
2022-05-11,13.0,13.0,13.0,Cannibalized,actual
2022-05-12,14.0,14.0,14.0,Cannibalized,actual
2022-05-13,11.0,11.0,11.0,Cannibalized,actual
2022-05-14,13.0,13.0,13.0,Cannibalized,actual
2022-05-15,10.0,10.0,10.0,Cannibalized,actual
2022-05-16,6.0,6.0,6.0,Cannibalized,actual
2022-05-17,11.0,11.0,11.0,Cannibalized,actual
2022-05-18,14.0,14.0,14.0,Cannibalized,actual
2022-05-19,13.0,13.0,13.0,Cannibalized,actual
2022-05-20,13.0,13.0,13.0,Cannibalized,actual
2022-05-21,15.0,15.0,15.0,Cannibalized,actual
2022-05-22,15.0,15.0,15.0,Cannibalized,actual
2022-05-23,10.0,10.0,10.0,Cannibalized,actual
2022-05-24,10.0,10.0,10.0,Cannibalized,actual
2022-05-25,9.0,9.0,9.0,Cannibalized,actual
2022-05-26,7.0,7.0,7.0,Cannibalized,actual
2022-05-27,9.0,9.0,9.0,Cannibalized,actual
2022-05-28,11.0,11.0,11.0,Cannibalized,actual
2022-05-29,10.0,10.0,10.0,Cannibalized,actual
2022-05-31,12.0,12.0,12.0,Cannibalized,actual
2022-06-01,8.0,8.0,8.0,Cannibalized,actual
2022-06-02,13.0,13.0,13.0,Cannibalized,actual
2022-06-03,12.0,12.0,12.0,Cannibalized,actual
2022-06-04,14.0,14.0,14.0,Cannibalized,actual
2022-06-05,11.0,11.0,11.0,Cannibalized,actual
2022-06-06,8.0,8.0,8.0,Cannibalized,actual
2022-06-07,15.0,15.0,15.0,Cannibalized,actual
2022-06-08,9.0,9.0,9.0,Cannibalized,actual
2022-06-09,12.0,12.0,12.0,Cannibalized,actual
2022-06-10,4.0,4.0,4.0,Cannibalized,actual
2022-06-11,13.0,13.0,13.0,Cannibalized,actual
2022-06-12,10.0,10.0,10.0,Cannibalized,actual
2022-06-13,6.0,6.0,6.0,Cannibalized,actual
2022-06-14,8.0,8.0,8.0,Cannibalized,actual
2022-06-15,10.0,10.0,10.0,Cannibalized,actual
2022-06-16,10.0,10.0,10.0,Cannibalized,actual
2022-06-17,8.0,8.0,8.0,Cannibalized,actual
2022-06-18,9.0,9.0,9.0,Cannibalized,actual
2022-06-19,11.0,11.0,11.0,Cannibalized,actual
2022-06-20,8.0,8.0,8.0,Cannibalized,actual
2022-06-21,8.0,8.0,8.0,Cannibalized,actual
2022-06-22,9.0,9.0,9.0,Cannibalized,actual
2022-06-23,10.0,10.0,10.0,Cannibalized,actual
2022-06-24,14.0,14.0,14.0,Cannibalized,actual
2022-06-25,5.0,5.0,5.0,Cannibalized,actual
2022-06-26,8.0,8.0,8.0,Cannibalized,actual
2022-06-27,9.0,9.0,9.0,Cannibalized,actual
2022-06-28,7.0,7.0,7.0,Cannibalized,actual
2022-06-29,11.0,11.0,11.0,Cannibalized,actual
2022-06-30,7.0,7.0,7.0,Cannibalized,actual
2022-07-01,12.0,12.0,12.0,Cannibalized,actual
2022-07-02,6.0,6.0,6.0,Cannibalized,actual
2022-07-03,13.0,13.0,13.0,Cannibalized,actual
2022-07-04,6.0,6.0,6.0,Cannibalized,actual
2022-07-05,10.0,10.0,10.0,Cannibalized,actual
2022-07-06,9.0,9.0,9.0,Cannibalized,actual
2022-07-07,7.0,7.0,7.0,Cannibalized,actual
2022-07-08,8.0,8.0,8.0,Cannibalized,actual
2022-07-09,6.0,6.0,6.0,Cannibalized,actual
2022-07-10,8.0,8.0,8.0,Cannibalized,actual
2022-07-11,11.0,11.0,11.0,Cannibalized,actual
2022-07-12,21.0,21.0,21.0,Cannibalized,actual
2022-07-13,10.0,10.0,10.0,Cannibalized,actual
2022-07-14,10.0,10.0,10.0,Cannibalized,actual
2022-07-15,6.0,6.0,6.0,Cannibalized,actual
2022-07-16,13.0,13.0,13.0,Cannibalized,actual
2022-07-17,11.0,11.0,11.0,Cannibalized,actual
2022-07-18,7.0,7.0,7.0,Cannibalized,actual
2022-07-19,7.0,7.0,7.0,Cannibalized,actual
2022-07-20,8.0,8.0,8.0,Cannibalized,actual
2022-07-21,6.0,6.0,6.0,Cannibalized,actual
2022-07-22,8.0,8.0,8.0,Cannibalized,actual
2022-07-23,2.0,2.0,2.0,Cannibalized,actual
2022-07-24,8.0,8.0,8.0,Cannibalized,actual
2022-07-25,6.0,6.0,6.0,Cannibalized,actual
2022-07-26,6.0,6.0,6.0,Cannibalized,actual
2022-07-27,8.0,8.0,8.0,Cannibalized,actual
2022-07-28,10.0,10.0,10.0,Cannibalized,actual
2022-07-29,7.0,7.0,7.0,Cannibalized,actual
2022-07-30,10.0,10.0,10.0,Cannibalized,actual
2022-07-31,10.0,10.0,10.0,Cannibalized,actual
2022-08-01,1.0,1.0,1.0,Cannibalized,actual
2022-08-02,7.0,7.0,7.0,Cannibalized,actual
2022-08-03,5.0,5.0,5.0,Cannibalized,actual
2022-08-04,7.0,7.0,7.0,Cannibalized,actual
2022-08-05,5.0,5.0,5.0,Cannibalized,actual
2022-08-06,5.0,5.0,5.0,Cannibalized,actual
2022-08-07,5.0,5.0,5.0,Cannibalized,actual
2022-08-08,6.0,6.0,6.0,Cannibalized,actual
2022-08-09,5.0,5.0,5.0,Cannibalized,actual
2022-08-10,11.0,11.0,11.0,Cannibalized,actual
2022-08-11,4.0,4.0,4.0,Cannibalized,actual
2022-08-12,5.0,5.0,5.0,Cannibalized,actual
2022-08-13,10.0,10.0,10.0,Cannibalized,actual
2022-08-14,8.0,8.0,8.0,Cannibalized,actual
2022-08-15,5.0,5.0,5.0,Cannibalized,actual
2022-08-16,5.0,5.0,5.0,Cannibalized,actual
2022-08-17,4.0,4.0,4.0,Cannibalized,actual
2022-08-18,6.0,6.0,6.0,Cannibalized,actual
2022-08-19,7.0,7.0,7.0,Cannibalized,actual
2022-08-20,5.0,5.0,5.0,Cannibalized,actual
2022-08-21,7.0,7.0,7.0,Cannibalized,actual
2022-08-22,7.0,7.0,7.0,Cannibalized,actual
2022-08-23,5.0,5.0,5.0,Cannibalized,actual
2022-08-24,6.0,6.0,6.0,Cannibalized,actual
2022-08-25,8.0,8.0,8.0,Cannibalized,actual
2022-08-26,8.0,8.0,8.0,Cannibalized,actual
2022-08-27,3.0,3.0,3.0,Cannibalized,actual
2022-08-28,11.0,11.0,11.0,Cannibalized,actual
2022-08-29,7.0,7.0,7.0,Cannibalized,actual
2022-08-30,5.0,5.0,5.0,Cannibalized,actual
2022-08-31,4.0,4.0,4.0,Cannibalized,actual
2022-09-01,6.0,6.0,6.0,Cannibalized,actual
2022-09-02,6.0,6.0,6.0,Cannibalized,actual
2022-09-03,4.0,4.0,4.0,Cannibalized,actual
2022-09-04,1.0,1.0,1.0,Cannibalized,actual
2022-09-05,8.0,8.0,8.0,Cannibalized,actual
2022-09-06,9.0,9.0,9.0,Cannibalized,actual
2022-09-07,0.0,0.0,0.0,Cannibalized,actual
2022-09-08,8.0,8.0,8.0,Cannibalized,actual
2022-09-09,3.0,3.0,3.0,Cannibalized,actual
2022-09-10,9.0,9.0,9.0,Cannibalized,actual
2022-09-11,8.0,8.0,8.0,Cannibalized,actual
2022-09-12,8.0,8.0,8.0,Cannibalized,actual
2022-09-13,6.0,6.0,6.0,Cannibalized,actual
2022-09-14,6.0,6.0,6.0,Cannibalized,actual
2022-09-15,3.0,3.0,3.0,Cannibalized,actual
2022-09-16,4.0,4.0,4.0,Cannibalized,actual
2022-09-17,12.0,12.0,12.0,Cannibalized,actual
2022-09-18,5.0,5.0,5.0,Cannibalized,actual
2022-09-19,7.0,7.0,7.0,Cannibalized,actual
2022-09-20,6.0,6.0,6.0,Cannibalized,actual
2022-09-21,8.0,8.0,8.0,Cannibalized,actual
2022-09-22,3.0,3.0,3.0,Cannibalized,actual
2022-09-23,5.0,5.0,5.0,Cannibalized,actual
2022-09-24,9.0,9.0,9.0,Cannibalized,actual
2022-09-25,9.0,9.0,9.0,Cannibalized,actual
2022-09-26,7.0,7.0,7.0,Cannibalized,actual
2022-09-27,5.0,5.0,5.0,Cannibalized,actual
2022-09-28,4.0,4.0,4.0,Cannibalized,actual
2022-09-29,4.0,4.0,4.0,Cannibalized,actual
2022-09-30,3.0,3.0,3.0,Cannibalized,actual
2022-10-01,9.0,9.0,9.0,Cannibalized,actual
2022-10-02,7.0,7.0,7.0,Cannibalized,actual
2022-10-03,3.0,3.0,3.0,Cannibalized,actual
2022-10-04,5.0,5.0,5.0,Cannibalized,actual
2022-10-05,2.0,2.0,2.0,Cannibalized,actual
2022-10-06,8.0,8.0,8.0,Cannibalized,actual
2022-10-07,5.0,5.0,5.0,Cannibalized,actual
2022-10-08,3.0,3.0,3.0,Cannibalized,actual
2022-10-09,2.0,2.0,2.0,Cannibalized,actual
2022-10-10,5.0,5.0,5.0,Cannibalized,actual
2022-10-11,9.0,9.0,9.0,Cannibalized,actual
2022-10-12,2.0,2.0,2.0,Cannibalized,actual
2022-10-13,3.0,3.0,3.0,Cannibalized,actual
2022-10-14,7.0,7.0,7.0,Cannibalized,actual
2022-10-15,5.0,5.0,5.0,Cannibalized,actual
2022-10-16,11.0,11.0,11.0,Cannibalized,actual
2022-10-17,4.0,4.0,4.0,Cannibalized,actual
2022-10-18,8.0,8.0,8.0,Cannibalized,actual
2022-10-19,3.0,3.0,3.0,Cannibalized,actual
2022-10-20,5.0,5.0,5.0,Cannibalized,actual
2022-10-21,7.0,7.0,7.0,Cannibalized,actual
2022-10-22,11.0,11.0,11.0,Cannibalized,actual
2022-10-23,9.0,9.0,9.0,Cannibalized,actual
2022-10-24,3.0,3.0,3.0,Cannibalized,actual
2022-10-25,4.0,4.0,4.0,Cannibalized,actual
2022-10-26,6.0,6.0,6.0,Cannibalized,actual
2022-10-27,4.0,4.0,4.0,Cannibalized,actual
2022-10-28,5.0,5.0,5.0,Cannibalized,actual
2022-10-29,9.0,9.0,9.0,Cannibalized,actual
2022-10-30,7.0,7.0,7.0,Cannibalized,actual
2022-10-31,4.0,4.0,4.0,Cannibalized,actual
2022-11-01,5.0,5.0,5.0,Cannibalized,actual
2022-11-02,5.0,5.0,5.0,Cannibalized,actual
2022-11-03,3.0,3.0,3.0,Cannibalized,actual
2022-11-04,9.0,9.0,9.0,Cannibalized,actual
2022-11-05,5.0,5.0,5.0,Cannibalized,actual
2022-11-06,7.0,7.0,7.0,Cannibalized,actual
2022-11-07,6.0,6.0,6.0,Cannibalized,actual
2022-11-08,6.0,6.0,6.0,Cannibalized,actual
2022-11-09,5.0,5.0,5.0,Cannibalized,actual
2022-11-10,10.0,10.0,10.0,Cannibalized,actual
2022-11-11,4.0,4.0,4.0,Cannibalized,actual
2022-11-12,7.0,7.0,7.0,Cannibalized,actual
2022-11-13,8.0,8.0,8.0,Cannibalized,actual
2022-11-14,8.0,8.0,8.0,Cannibalized,actual
2022-11-15,5.0,5.0,5.0,Cannibalized,actual
2022-11-16,5.0,5.0,5.0,Cannibalized,actual
2022-11-17,5.0,5.0,5.0,Cannibalized,actual
2022-11-18,8.0,8.0,8.0,Cannibalized,actual
2022-11-19,8.0,8.0,8.0,Cannibalized,actual
2022-11-20,7.0,7.0,7.0,Cannibalized,actual
2022-11-21,7.0,7.0,7.0,Cannibalized,actual
2022-11-22,6.0,6.0,6.0,Cannibalized,actual
2022-11-23,9.0,9.0,9.0,Cannibalized,actual
2022-11-24,4.0,4.0,4.0,Cannibalized,actual
2022-11-25,20.0,20.0,20.0,Cannibalized,actual
2022-11-26,9.0,9.0,9.0,Cannibalized,actual
2022-11-27,10.0,10.0,10.0,Cannibalized,actual
2022-11-28,20.0,20.0,20.0,Cannibalized,actual
2022-11-29,6.0,6.0,6.0,Cannibalized,actual
2022-11-30,8.0,8.0,8.0,Cannibalized,actual
2022-12-01,7.0,7.0,7.0,Cannibalized,actual
2022-12-02,4.0,4.0,4.0,Cannibalized,actual
2022-12-03,4.0,4.0,4.0,Cannibalized,actual
2022-12-04,11.0,11.0,11.0,Cannibalized,actual
2022-12-05,11.0,11.0,11.0,Cannibalized,actual
2022-12-06,9.0,9.0,9.0,Cannibalized,actual
2022-12-07,8.0,8.0,8.0,Cannibalized,actual
2022-12-08,10.0,10.0,10.0,Cannibalized,actual
2022-12-09,3.0,3.0,3.0,Cannibalized,actual
2022-12-10,9.0,9.0,9.0,Cannibalized,actual
2022-12-11,9.0,9.0,9.0,Cannibalized,actual
2022-12-12,6.0,6.0,6.0,Cannibalized,actual
2022-12-13,11.0,11.0,11.0,Cannibalized,actual
2022-12-14,9.0,9.0,9.0,Cannibalized,actual
2022-12-15,9.0,9.0,9.0,Cannibalized,actual
2022-12-16,4.0,4.0,4.0,Cannibalized,actual
2022-12-17,10.0,10.0,10.0,Cannibalized,actual
2022-12-18,8.0,8.0,8.0,Cannibalized,actual
2022-12-19,8.0,8.0,8.0,Cannibalized,actual
2022-12-20,9.0,9.0,9.0,Cannibalized,actual
2022-12-21,7.0,7.0,7.0,Cannibalized,actual
2022-12-22,4.0,4.0,4.0,Cannibalized,actual
2022-12-23,8.0,8.0,8.0,Cannibalized,actual
2022-12-24,6.0,6.0,6.0,Cannibalized,actual
2022-12-25,21.0,21.0,21.0,Cannibalized,actual
2022-12-26,12.0,12.0,12.0,Cannibalized,actual
2022-12-27,9.0,9.0,9.0,Cannibalized,actual
2022-12-28,6.0,6.0,6.0,Cannibalized,actual
2022-12-29,5.0,5.0,5.0,Cannibalized,actual
2022-12-30,9.0,9.0,9.0,Cannibalized,actual
2022-12-31,9.0,9.0,9.0,Cannibalized,actual
2023-01-01,12.0,12.0,12.0,Cannibalized,actual
2023-01-02,10.0,10.0,10.0,Cannibalized,actual
2023-01-03,7.0,7.0,7.0,Cannibalized,actual
2023-01-04,7.0,7.0,7.0,Cannibalized,actual
2023-01-05,10.0,10.0,10.0,Cannibalized,actual
2023-01-06,8.0,8.0,8.0,Cannibalized,actual
2023-01-07,13.0,13.0,13.0,Cannibalized,actual
2023-01-08,7.0,7.0,7.0,Cannibalized,actual
2023-01-09,8.0,8.0,8.0,Cannibalized,actual
2023-01-10,7.0,7.0,7.0,Cannibalized,actual
2023-01-11,13.0,13.0,13.0,Cannibalized,actual
2023-01-12,10.0,10.0,10.0,Cannibalized,actual
2023-01-13,12.0,12.0,12.0,Cannibalized,actual
2023-01-14,13.0,13.0,13.0,Cannibalized,actual
2023-01-15,12.0,12.0,12.0,Cannibalized,actual
2023-01-16,8.0,8.0,8.0,Cannibalized,actual
2023-01-17,8.0,8.0,8.0,Cannibalized,actual
2023-01-18,7.0,7.0,7.0,Cannibalized,actual
2023-01-19,9.0,9.0,9.0,Cannibalized,actual
2023-01-20,9.0,9.0,9.0,Cannibalized,actual
2023-01-21,12.0,12.0,12.0,Cannibalized,actual
2023-01-22,17.0,17.0,17.0,Cannibalized,actual
2023-01-23,11.0,11.0,11.0,Cannibalized,actual
2023-01-24,7.0,7.0,7.0,Cannibalized,actual
2023-01-25,10.0,10.0,10.0,Cannibalized,actual
2023-01-26,13.0,13.0,13.0,Cannibalized,actual
2023-01-27,10.0,10.0,10.0,Cannibalized,actual
2023-01-28,10.0,10.0,10.0,Cannibalized,actual
2023-01-29,7.0,7.0,7.0,Cannibalized,actual
2023-01-30,9.0,9.0,9.0,Cannibalized,actual
2023-01-31,9.0,9.0,9.0,Cannibalized,actual
2023-02-01,0.0,0.0,0.0,Cannibalized,actual
2023-02-02,0.0,0.0,0.0,Cannibalized,actual
2023-02-03,0.0,0.0,0.0,Cannibalized,actual
2023-02-04,0.0,0.0,0.0,Cannibalized,actual
2023-02-05,0.0,0.0,0.0,Cannibalized,actual
2023-02-06,0.0,0.0,0.0,Cannibalized,actual
2023-02-07,0.0,0.0,0.0,Cannibalized,actual
2023-02-08,0.0,0.0,0.0,Cannibalized,actual
2023-02-09,0.0,0.0,0.0,Cannibalized,actual
2023-02-10,3.0,3.0,3.0,Cannibalized,actual
2023-02-11,6.0,6.0,6.0,Cannibalized,actual
2023-02-12,0.0,0.0,0.0,Cannibalized,actual
2023-02-13,8.0,8.0,8.0,Cannibalized,actual
2023-02-14,7.0,7.0,7.0,Cannibalized,actual
2023-02-15,9.0,9.0,9.0,Cannibalized,actual
2023-02-16,7.0,7.0,7.0,Cannibalized,actual
2023-02-17,9.0,9.0,9.0,Cannibalized,actual
2023-02-18,10.0,10.0,10.0,Cannibalized,actual
2023-02-19,8.0,8.0,8.0,Cannibalized,actual
2023-02-20,7.0,7.0,7.0,Cannibalized,actual
2023-02-21,6.0,6.0,6.0,Cannibalized,actual
2023-02-22,12.0,12.0,12.0,Cannibalized,actual
2023-02-23,7.0,7.0,7.0,Cannibalized,actual
2023-02-24,11.0,11.0,11.0,Cannibalized,actual
2023-02-25,12.0,12.0,12.0,Cannibalized,actual
2023-02-26,15.0,15.0,15.0,Cannibalized,actual
2023-02-27,15.0,15.0,15.0,Cannibalized,actual
2023-02-28,10.0,10.0,10.0,Cannibalized,actual
2023-03-01,9.0,9.0,9.0,Cannibalized,actual
2023-03-02,14.0,14.0,14.0,Cannibalized,actual
2023-03-03,13.0,13.0,13.0,Cannibalized,actual
2023-03-04,10.0,10.0,10.0,Cannibalized,actual
2023-03-05,15.0,15.0,15.0,Cannibalized,actual
2023-03-06,9.0,9.0,9.0,Cannibalized,actual
2023-03-07,12.0,12.0,12.0,Cannibalized,actual
2023-03-08,10.0,10.0,10.0,Cannibalized,actual
2023-03-09,7.0,7.0,7.0,Cannibalized,actual
2023-03-10,15.0,15.0,15.0,Cannibalized,actual
2023-03-11,9.0,9.0,9.0,Cannibalized,actual
2023-03-12,14.0,14.0,14.0,Cannibalized,actual
2023-03-13,11.0,11.0,11.0,Cannibalized,actual
2023-03-14,9.0,9.0,9.0,Cannibalized,actual
2023-03-15,13.0,13.0,13.0,Cannibalized,actual
2023-03-16,10.0,10.0,10.0,Cannibalized,actual
2023-03-17,12.0,12.0,12.0,Cannibalized,actual
2023-03-18,15.0,15.0,15.0,Cannibalized,actual
2023-03-19,14.0,14.0,14.0,Cannibalized,actual
2023-03-20,12.0,12.0,12.0,Cannibalized,actual
2023-03-21,8.0,8.0,8.0,Cannibalized,actual
2023-03-22,12.0,12.0,12.0,Cannibalized,actual
2023-03-23,12.0,12.0,12.0,Cannibalized,actual
2023-03-24,15.0,15.0,15.0,Cannibalized,actual
2023-03-25,19.0,19.0,19.0,Cannibalized,actual
2023-03-26,17.0,17.0,17.0,Cannibalized,actual
2023-03-27,11.0,11.0,11.0,Cannibalized,actual
2023-03-28,13.0,13.0,13.0,Cannibalized,actual
2023-03-29,14.0,14.0,14.0,Cannibalized,actual
2023-03-30,13.0,13.0,13.0,Cannibalized,actual
2023-03-31,13.0,13.0,13.0,Cannibalized,actual
2023-04-01,0.0,0.0,0.0,Cannibalized,actual
2023-04-02,13.0,13.0,13.0,Cannibalized,actual
2023-04-03,10.0,10.0,10.0,Cannibalized,actual
2023-04-04,11.0,11.0,11.0,Cannibalized,actual
2023-04-05,8.0,8.0,8.0,Cannibalized,actual
2023-04-06,10.0,10.0,10.0,Cannibalized,actual
2023-04-07,8.0,8.0,8.0,Cannibalized,actual
2023-04-08,14.0,14.0,14.0,Cannibalized,actual
2023-04-09,13.0,13.0,13.0,Cannibalized,actual
2023-04-10,11.0,11.0,11.0,Cannibalized,actual
2023-04-11,15.0,15.0,15.0,Cannibalized,actual
2023-04-12,12.0,12.0,12.0,Cannibalized,actual
2023-04-13,16.0,16.0,16.0,Cannibalized,actual
2023-04-14,11.0,11.0,11.0,Cannibalized,actual
2023-04-15,14.0,14.0,14.0,Cannibalized,actual
2023-04-16,13.0,13.0,13.0,Cannibalized,actual
2023-04-17,14.0,14.0,14.0,Cannibalized,actual
2023-04-18,13.0,13.0,13.0,Cannibalized,actual
2023-04-19,11.0,11.0,11.0,Cannibalized,actual
2023-04-20,9.0,9.0,9.0,Cannibalized,actual
2023-04-21,13.0,13.0,13.0,Cannibalized,actual
2023-04-22,14.0,14.0,14.0,Cannibalized,actual
2023-04-23,12.0,12.0,12.0,Cannibalized,actual
2023-04-24,10.0,10.0,10.0,Cannibalized,actual
2023-04-25,12.0,12.0,12.0,Cannibalized,actual
2023-04-26,13.0,13.0,13.0,Cannibalized,actual
2023-04-27,18.0,18.0,18.0,Cannibalized,actual
